step,start_day,end_day,base_price,sales_k1,cum_sales_k1,sales_k2,cum_sales_k2,sales_total,cum_sales_total,rev_k1,cum_rev_k1,rev_k2,cum_rev_k2,rev_total,cum_rev_total,remaining_k1,remaining_k2
1,1,15,900.0,6,6,4,4,10,10,5400.0,5400.0,3689.9999999999995,3689.9999999999995,9090.0,9090.0,174,176
2,16,30,898.0434782608696,7,13,12,16,19,29,6286.304347826087,11686.304347826088,11045.934782608696,14735.934782608696,17332.239130434784,26422.239130434784,167,164
3,31,45,897.6352766798419,5,18,7,23,12,41,4488.17638339921,16174.480731225298,6440.533110177866,21176.46789278656,10928.709493577077,37350.94862401186,162,157
4,46,60,895.9254952004518,3,21,7,30,10,51,2687.7764856013555,18862.257216826652,6428.265428063241,27604.733320849802,9116.041913664598,46466.99053767645,159,150
5,61,75,891.8938304720498,6,27,8,38,14,65,5351.362982832299,24213.62019965895,7313.529409870807,34918.26273072061,12664.892392703106,59131.882930379565,153,142
6,76,90,887.1996524169338,4,31,9,47,13,78,3548.798609667735,27762.418809326686,8184.416793546213,43102.67952426682,11733.215403213948,70865.09833359352,149,133
7,91,105,881.2849880674875,9,40,4,51,13,91,7931.564892607387,35693.98370193407,3613.268451076698,46715.94797534352,11544.833343684086,82409.9316772776,140,129
8,106,120,874.0273469892846,8,48,15,66,23,114,6992.218775914277,42686.20247784835,13438.17045996025,60154.118435303775,20430.38923587453,102840.32091315213,132,114
9,121,135,870.7497444380748,12,60,6,72,18,132,10448.996933256898,53135.19941110525,5355.11092829416,65509.22936359794,15804.107861551058,118644.42877470318,120,108
10,136,150,869.0082449491987,3,63,7,79,10,142,2607.024734847596,55742.224145952845,6235.1341575105,71744.36352110843,8842.158892358097,127486.58766706128,117,101
11,151,165,864.042483549489,10,73,9,88,19,161,8640.42483549489,64382.64898144774,7970.791910744036,79715.15543185247,16611.216746238926,144097.8044133002,107,92
12,166,180,861.3838912924136,5,78,5,93,10,171,4306.919456462068,68689.56843790981,4414.59244287362,84129.74787472609,8721.511899335688,152819.3163126359,102,87
13,181,195,854.9235121077206,6,84,7,100,13,184,5129.541072646323,73819.10951055613,6134.076199372895,90263.82407409899,11263.617272019219,164082.9335846551,96,80
14,196,210,846.3742769866434,9,93,11,111,20,204,7617.36849287979,81436.47800343591,9542.869973024402,99806.69404712338,17160.238465904193,181243.1720505593,87,69
15,211,225,841.2960313247236,8,101,7,118,15,219,6730.368250597789,88166.8462540337,6036.2990247548905,105842.99307187827,12766.66727535268,194009.83932591198,79,62
16,226,240,835.6873911158921,3,104,9,127,12,231,2507.0621733476764,90673.90842738138,7709.216183044104,113552.20925492237,10216.27835639178,204226.11768230377,76,53
17,241,255,826.2859079658383,9,113,8,135,17,248,7436.573171692545,98110.48159907393,6775.544445319873,120327.75370024225,14212.117617012418,218438.23529931618,67,45
18,256,270,818.0230488861799,3,116,8,143,11,259,2454.06914665854,100564.55074573247,6707.7890008666745,127035.54270110892,9161.858147525214,227600.0934468414,64,37
19,271,285,803.0259596566,10,126,9,152,19,278,8030.259596566,108594.81034229847,7407.914477832134,134443.45717894105,15438.174074398135,243038.26752123953,54,28
20,286,300,791.7835962214076,5,131,10,162,15,293,3958.917981107038,112553.7283234055,8115.781861269426,142559.2390402105,12074.699842376463,255112.967363616,49,18
21,301,315,777.927383287533,4,135,13,175,17,310,3111.709533150132,115665.43785655564,10365.882382306376,152925.12142251688,13477.591915456507,268590.5592790725,45,5
22,316,330,764.9619268994073,12,147,5,180,17,327,9179.543122792888,124844.98097934853,3920.429875359462,156845.55129787634,13099.972998152349,281690.5322772249,33,0
23,331,345,753.4874979959162,11,158,0,180,11,338,8288.36247795508,133133.34345730362,0.0,156845.55129787634,8288.36247795508,289978.89475518,22,0
24,346,360,720.0,18,176,0,180,18,356,12960.0,146093.34345730362,0.0,156845.55129787634,12960.0,302938.89475518,4,0
